,Attribute,Subgroup,AUC,FNR,FPR
13,Age,1,0.7692852087756545,1.0,0.004549590536851683
10,Age,2,0.7959997177931424,0.868421052631579,0.012064343163538873
14,Age,3,0.7856719045445655,0.8428571428571429,0.020082154267457783
8,Age,4,0.827797776935708,0.7083333333333334,0.03713527851458886
12,Age,5,0.876705443817297,0.6190476190476191,0.03973288814691152
9,Age,6,0.822758388386648,0.5286458333333334,0.09346314325452017
3,Age,7,0.8222163753861014,0.45454545454545453,0.13911905800261665
6,Age,8,0.8090616023029744,0.38434982738780205,0.17305875684866806
2,Age,9,0.8092953520078039,0.31890459363957596,0.21971365638766518
5,Age,10,0.7796833556728082,0.3591549295774648,0.23961480362537765
4,Age,11,0.7488501375153608,0.3741152679474216,0.26756393001345896
11,Age,12,0.7230325575046072,0.41884057971014493,0.271193092621664
7,Age,13,0.679625581334097,0.46740858505564387,0.27352837504406063
20,Education,1,0.7897727272727273,0.375,0.36363636363636365
19,Education,2,0.7575036253669578,0.2530612244897959,0.3847487001733102
17,Education,3,0.7729909623839766,0.25842696629213485,0.3376358695652174
15,Education,4,0.7785232744267889,0.37626494940202393,0.23172387046732595
18,Education,5,0.8106240290787825,0.3971665852467025,0.17143580653329957
16,Education,6,0.8277254131966623,0.5170427268362938,0.10014357501794688
22,Income,1,0.7893514195163408,0.2291220556745182,0.341446923597025
27,Income,2,0.7498879982727445,0.2785829307568438,0.3659217877094972
21,Income,3,0.7715302421869725,0.29871977240398295,0.2936444086886565
25,Income,4,0.7736934229755602,0.35168961201501875,0.25303766707168895
28,Income,5,0.7807706139512929,0.3938706015891033,0.2157001414427157
24,Income,6,0.8006571678829303,0.4101338432122371,0.1724952741020794
26,Income,7,0.8066979291357806,0.4966887417218543,0.1376231122783979
23,Income,8,0.8240260277148113,0.5714285714285714,0.08008736803785949
0,Sex,0,0.8291940585749185,0.38714902807775375,0.15816450076680927
1,Sex,1,0.7967196079881647,0.4408732565191025,0.16786241823169445
