,Attribute,Subgroup,AUC,FNR,FPR
13,Age,1,0.8028533030083738,0.5882352941176471,0.01845342706502636
10,Age,2,0.7575361457714399,0.5294117647058824,0.030976430976430977
14,Age,3,0.8102774565600224,0.6229508196721312,0.05255878284923928
8,Age,4,0.8245504042693949,0.5474452554744526,0.07470610542282898
12,Age,5,0.8436173925677457,0.5072463768115942,0.10166721150702844
9,Age,6,0.8347097789648792,0.42296918767507,0.12189122711123258
3,Age,7,0.8134934409294886,0.4242902208201893,0.15162852112676056
6,Age,8,0.8196531901781785,0.3669309173272933,0.17127598703032615
2,Age,9,0.7954037434668433,0.3834909716251075,0.20919747520288548
5,Age,10,0.776066677706022,0.36363636363636365,0.2270700019391119
4,Age,11,0.7611433522169522,0.3798604187437687,0.24635287641067988
11,Age,12,0.7271403203193703,0.4069264069264069,0.2687779131140885
7,Age,13,0.6836001367272678,0.4573268921095008,0.2910421749738585
20,Education,1,0.5384615384615384,0.8333333333333334,0.34615384615384615
19,Education,2,0.7490666779369708,0.2175732217573222,0.40404040404040403
17,Education,3,0.7424823606792634,0.2853982300884956,0.3621621621621622
15,Education,4,0.7729250585118048,0.35801928133216476,0.2490792789300252
18,Education,5,0.8013464489425561,0.394990366088632,0.17850483132734363
16,Education,6,0.8262649922620583,0.49951923076923077,0.10234717565127677
22,Income,1,0.7727482087658544,0.24197002141327623,0.36138944555778224
27,Income,2,0.7514979993661357,0.24625623960066556,0.3964285714285714
21,Income,3,0.7560035715206683,0.2941970310391363,0.3184713375796178
25,Income,4,0.7693953069678037,0.3220747889022919,0.27057356608478805
28,Income,5,0.7796409635060686,0.3472222222222222,0.25225017309023773
24,Income,6,0.7792271288034001,0.4137291280148423,0.19295958279009126
26,Income,7,0.805461639650003,0.4837164750957854,0.13898349489127587
23,Income,8,0.8199950822222879,0.5837387074357192,0.07421239684356364
0,Sex,0,0.8265163596903596,0.37007665873645257,0.16924886437378325
1,Sex,1,0.7874020607322667,0.4361575178997613,0.1727104776986012
