,Attribute,Subgroup,AUC,FNR,FPR
13,Age,1,0.7689819027398646,1.0,0.004549590536851683
10,Age,2,0.7987600536193029,0.868421052631579,0.014075067024128687
14,Age,3,0.7859001108430593,0.8428571428571429,0.022364217252396165
8,Age,4,0.8278356700770494,0.7,0.038272072754831375
12,Age,5,0.8763680207753664,0.5873015873015873,0.044741235392320534
9,Age,6,0.8229920027816412,0.5182291666666666,0.0995827538247566
3,Age,7,0.8222428663593474,0.43636363636363634,0.14369821194941126
6,Age,8,0.8089446360425228,0.37744533947065595,0.17759304742112222
2,Age,9,0.8095409279120811,0.31007067137809186,0.22668869309838474
5,Age,10,0.7796871232429825,0.3474178403755869,0.24641238670694865
4,Age,11,0.7489912591671237,0.36299292214357937,0.2737550471063257
11,Age,12,0.7230624189475121,0.4,0.28335949764521196
7,Age,13,0.6793837732484604,0.45151033386327505,0.29185759605216777
20,Education,1,0.7897727272727273,0.25,0.36363636363636365
19,Education,2,0.7579245216284087,0.23673469387755103,0.39168110918544197
17,Education,3,0.7725428981436249,0.24044943820224718,0.34782608695652173
15,Education,4,0.7785606696732713,0.3620055197792088,0.24083769633507854
18,Education,5,0.8105260529659032,0.3849535906204201,0.17776652317042288
16,Education,6,0.8278155352974618,0.5084013442150744,0.10450210234847708
22,Income,1,0.789344904320733,0.22269807280513917,0.3509127789046653
27,Income,2,0.7497508074020096,0.2608695652173913,0.3782122905027933
21,Income,3,0.7710201309409507,0.2887624466571835,0.3053097345132743
25,Income,4,0.7736056005608467,0.3316645807259074,0.2664034021871203
28,Income,5,0.7808870111917954,0.3711691259931896,0.2267798208392268
24,Income,6,0.8006156769690639,0.3986615678776291,0.1772211720226843
26,Income,7,0.8067773173372527,0.48722800378429515,0.14353250164149706
23,Income,8,0.8241660667421925,0.5658263305322129,0.08263560247542774
0,Sex,0,0.8291838000929899,0.37607991360691145,0.16474291710388247
1,Sex,1,0.7967745451437058,0.4269254093389933,0.17366533023844694
