,Attribute,Subgroup,AUC,FNR,FPR
13,Age,1,0.7689819027398646,1.0,0.007279344858962694
10,Age,2,0.8032048116269225,0.868421052631579,0.013404825737265416
14,Age,3,0.7870541826954423,0.8428571428571429,0.023733455043359195
8,Age,4,0.8276919919161299,0.7,0.038651004168245545
12,Age,5,0.8765331990707617,0.5925925925925926,0.045075125208681135
9,Age,6,0.8225707724849327,0.5208333333333334,0.09791376912378304
3,Age,7,0.8222253859212192,0.4380165289256198,0.14304404709986918
6,Age,8,0.8090336651942978,0.38204833141542005,0.1764594747780087
2,Age,9,0.8092913793371834,0.30742049469964666,0.22595447870778268
5,Age,10,0.7801300712972025,0.34507042253521125,0.2481117824773414
4,Age,11,0.7493626390973658,0.3609706774519717,0.2753701211305518
11,Age,12,0.7225291788956385,0.4028985507246377,0.282574568288854
7,Age,13,0.6797869735210339,0.44992050874403816,0.28762777581952764
20,Education,1,0.7784090909090908,0.375,0.36363636363636365
19,Education,2,0.7573621476320165,0.23265306122448978,0.3882149046793761
17,Education,3,0.7733703285295555,0.24719101123595505,0.33967391304347827
15,Education,4,0.7784083013254998,0.36614535418583255,0.2383168508822959
18,Education,5,0.8106763159942416,0.3859306301905227,0.17751329450493797
16,Education,6,0.8278841792412146,0.5016802688430149,0.10614295969644139
22,Income,1,0.7898769786287105,0.22698072805139186,0.3441514536849222
27,Income,2,0.7502118586889052,0.2673107890499195,0.37318435754189944
21,Income,3,0.7715119319683829,0.29445234708392604,0.2932421560740145
25,Income,4,0.7740420513491196,0.3429286608260325,0.25789793438639125
28,Income,5,0.7813293207057044,0.38251986379114644,0.2182932578972183
24,Income,6,0.8007633424538043,0.3967495219885277,0.17848141146817895
26,Income,7,0.806865215854532,0.4806054872280038,0.14668417596848327
23,Income,8,0.8244315503170082,0.5518207282913166,0.08688265987137483
0,Sex,0,0.8289770015186259,0.37392008639308855,0.16296714827669706
1,Sex,1,0.7968071603308213,0.42935112189205576,0.17540620384047267
